Model,Level,Subset,Accuracy,Recall (Sensitivity),Specificity,Precision,F1-Score,ROC-AUC,FN,FP
Logistic Regression,window,pooled,0.9478760954235638,0.9742893764608309,0.930003571246365,0.9040156709108716,0.9378379359146496,0.9701631388467897,341,1372
Logistic Regression,window,mimic,0.9036319612590799,0.9705619982158786,0.8241525423728814,0.8676236044657097,0.9162105263157895,0.867835637823372,66,332
Logistic Regression,window,afdb,0.9542354005707524,0.9750476363306415,0.9412860610850787,0.911759714916002,0.9423422633402025,0.9812424326693425,275,1040
Logistic Regression,subject,mimic,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2
Random Forest,window,pooled,0.9538704965920156,0.9649400588102239,0.9463802867200654,0.9241100440465015,0.9440838005311302,0.9880127313946251,465,1051
Random Forest,window,mimic,0.9215496368038741,0.9710080285459411,0.8628177966101694,0.8936781609195402,0.9307396323215049,0.9486102422549479,65,259
Random Forest,window,afdb,0.9585160437112829,0.9637056528445694,0.9552870772878677,0.9306054499255235,0.9468663635553178,0.9921844698869486,400,792
Random Forest,subject,mimic,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9375,0,2
XGBoost,window,pooled,0.9598953261927945,0.9694639221895499,0.9534207438396001,0.9337012562631617,0.9512465783827773,0.9880636261077962,405,913
XGBoost,window,mimic,0.9121065375302664,0.9745762711864406,0.8379237288135594,0.8771577679646728,0.9233044580604268,0.9302113730174331,57,306
XGBoost,window,afdb,0.9667641122015731,0.9684239179747755,0.9657313837294642,0.9461879432624114,0.9571768082148783,0.9939911422675555,348,607
XGBoost,subject,mimic,0.9142857142857143,1.0,0.8125,0.8636363636363636,0.926829268292683,0.9144736842105263,0,3
