Model,Level,Accuracy,Recall (Sensitivity),Specificity,Precision,F1-Score,ROC-AUC,FN,FP,TP,TN,Feature_Set,N_Features
Logistic Regression,window,0.9138014527845036,0.9661016949152542,0.8516949152542372,0.8855273916598528,0.924061433447099,0.8755934471340662,76,280,2166,1608,baseline13,13
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,baseline13,13
Random Forest,window,0.9174334140435836,0.9661016949152542,0.8596398305084746,0.8909913615795969,0.9270276053926814,0.950877248106261,76,265,2166,1623,baseline13,13
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9375,0,2,19,14,baseline13,13
XGBoost,window,0.9205811138014528,0.967885816235504,0.864406779661017,0.8944765045342127,0.9297343616109683,0.9575959343201439,72,256,2170,1632,baseline13,13
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,baseline13,13
Logistic Regression,window,0.914043583535109,0.9656556645851918,0.8527542372881356,0.8862054850593533,0.9242262540021344,0.8734377126203904,77,278,2165,1610,plus_pnn,15
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,plus_pnn,15
Random Forest,window,0.9174334140435836,0.9692239072256913,0.8559322033898306,0.8887525562372188,0.9272455728611052,0.945412077216166,69,272,2173,1616,plus_pnn,15
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9375,0,2,19,14,plus_pnn,15
XGBoost,window,0.9208232445520581,0.9687778768956289,0.8638771186440678,0.8941951420337587,0.9299935773924213,0.9528024076188029,70,257,2172,1631,plus_pnn,15
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9243421052631579,0,2,19,14,plus_pnn,15
Logistic Regression,window,0.9138014527845036,0.9661016949152542,0.8516949152542372,0.8855273916598528,0.924061433447099,0.875859931356688,76,280,2166,1608,plus_tpr,14
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,plus_tpr,14
Random Forest,window,0.9186440677966101,0.9669937555753791,0.861228813559322,0.8921810699588477,0.928082191780822,0.9512800456236108,74,262,2168,1626,plus_tpr,14
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.944078947368421,0,2,19,14,plus_tpr,14
XGBoost,window,0.9200968523002422,0.9669937555753791,0.864406779661017,0.8943894389438944,0.9292756108015431,0.9524650499327175,74,256,2168,1632,plus_tpr,14
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,plus_tpr,14
Logistic Regression,window,0.9135593220338983,0.9696699375557538,0.846927966101695,0.8826634185952091,0.9241232731137088,0.8910894574305629,68,289,2174,1599,plus_robust,16
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9046052631578947,0,2,19,14,plus_robust,16
Random Forest,window,0.9200968523002422,0.9701159678858162,0.8606991525423728,0.8921246923707957,0.9294871794871795,0.938690083573988,67,263,2175,1625,plus_robust,16
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.930921052631579,0,2,19,14,plus_robust,16
XGBoost,window,0.9220338983050848,0.9692239072256913,0.8659957627118644,0.8957131079967023,0.9310197086546701,0.9575959343201439,69,253,2173,1635,plus_robust,16
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9276315789473684,0,2,19,14,plus_robust,16
Logistic Regression,window,0.9174334140435836,0.9754683318465656,0.8485169491525424,0.8843509906995553,0.9276776246023329,0.8873468660699436,55,286,2187,1602,plus_all_simple,19
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.8980263157894737,0,2,19,14,plus_all_simple,19
Random Forest,window,0.9179176755447942,0.9701159678858162,0.8559322033898306,0.8888434818144667,0.927703134996801,0.9508970926760308,67,272,2175,1616,plus_all_simple,19
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,plus_all_simple,19
XGBoost,window,0.9210653753026634,0.9696699375557538,0.8633474576271186,0.8939144736842105,0.9302524604193411,0.9347577875761652,68,258,2174,1630,plus_all_simple,19
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9210526315789473,0,2,19,14,plus_all_simple,19
