Model,Level,Accuracy,Recall (Sensitivity),Specificity,Precision,F1-Score,ROC-AUC,FN,FP,TP,TN,Feature_Set,N_Features
Logistic Regression,window,0.9138014527845036,0.9661016949152542,0.8516949152542372,0.8855273916598528,0.924061433447099,0.8755934471340662,76,280,2166,1608,baseline13,13
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,baseline13,13
Random Forest,window,0.9174334140435836,0.9661016949152542,0.8596398305084746,0.8909913615795969,0.9270276053926814,0.950877248106261,76,265,2166,1623,baseline13,13
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9375,0,2,19,14,baseline13,13
XGBoost,window,0.9205811138014528,0.967885816235504,0.864406779661017,0.8944765045342127,0.9297343616109683,0.9575959343201439,72,256,2170,1632,baseline13,13
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,baseline13,13
Logistic Regression,window,0.9157384987893462,0.9638715432649421,0.8585805084745762,0.8900329489291599,0.9254817987152034,0.8754906806120443,81,267,2161,1621,plus_cosen,14
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,plus_cosen,14
Random Forest,window,0.9242130750605327,0.9763603925066905,0.8622881355932204,0.893834218048183,0.9332764868897889,0.9539687485825306,53,260,2189,1628,plus_cosen,14
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,plus_cosen,14
XGBoost,window,0.9220338983050848,0.971900089206066,0.8628177966101694,0.8937653814602133,0.9311965811965812,0.9493444913364278,63,259,2179,1629,plus_cosen,14
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9013157894736842,0,2,19,14,plus_cosen,14
Logistic Regression,window,0.914043583535109,0.9611953612845674,0.8580508474576272,0.8893933140734627,0.9239013933547695,0.9137018721934107,87,268,2155,1620,plus_ac,14
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9210526315789473,0,2,19,14,plus_ac,14
Random Forest,window,0.9232445520581114,0.975914362176628,0.8606991525423728,0.8926968584251326,0.9324525889622842,0.9798662664993424,54,263,2188,1625,plus_ac,14
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9835526315789473,0,2,19,14,plus_ac,14
XGBoost,window,0.9208232445520581,0.967885816235504,0.8649364406779662,0.8948453608247423,0.9299335761731304,0.975264216271791,72,255,2170,1633,plus_ac,14
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9638157894736842,0,2,19,14,plus_ac,14
Logistic Regression,window,0.911138014527845,0.9585191793041927,0.8548728813559322,0.8869170449855551,0.9213290460878886,0.9154458318843648,93,274,2149,1614,plus_cosen_ac,15
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9243421052631579,0,2,19,14,plus_cosen_ac,15
Random Forest,window,0.9261501210653753,0.9776984834968778,0.8649364406779662,0.8957907642010625,0.9349541480059714,0.9755603492266288,50,255,2192,1633,plus_cosen_ac,15
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9671052631578947,0,2,19,14,plus_cosen_ac,15
XGBoost,window,0.9222760290556901,0.971900089206066,0.8633474576271186,0.8941321296676241,0.9313955973498611,0.9824151124903613,63,258,2179,1630,plus_cosen_ac,15
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9539473684210527,0,2,19,14,plus_cosen_ac,15
Logistic Regression,window,0.9179176755447942,0.9674397859054416,0.8591101694915254,0.8907597535934292,0.927517639512508,0.9319799021757207,73,266,2169,1622,robust_plus_cosen_ac,18
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.944078947368421,0,2,19,14,robust_plus_cosen_ac,18
Random Forest,window,0.9263922518159806,0.9785905441570026,0.864406779661017,0.8955102040816326,0.9352088661551577,0.9718678417801903,48,256,2194,1632,robust_plus_cosen_ac,18
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9605263157894737,0,2,19,14,robust_plus_cosen_ac,18
XGBoost,window,0.9232445520581114,0.971900089206066,0.8654661016949152,0.8956021372790793,0.932192513368984,0.9826120225963502,63,254,2179,1634,robust_plus_cosen_ac,18
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9539473684210527,0,2,19,14,robust_plus_cosen_ac,18
