Model,Level,Accuracy,Recall (Sensitivity),Specificity,Precision,F1-Score,ROC-AUC,FN,FP,TP,TN,Feature_Set,N_Features
Logistic Regression,window,0.9138014527845036,0.9661016949152542,0.8516949152542372,0.8855273916598528,0.924061433447099,0.8755934471340662,76,280,2166,1608,current13,13
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,current13,13
Random Forest,window,0.9174334140435836,0.9661016949152542,0.8596398305084746,0.8909913615795969,0.9270276053926814,0.950877248106261,76,265,2166,1623,current13,13
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9375,0,2,19,14,current13,13
XGBoost,window,0.9205811138014528,0.967885816235504,0.864406779661017,0.8944765045342127,0.9297343616109683,0.9575959343201439,72,256,2170,1632,current13,13
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,current13,13
Logistic Regression,window,0.9099273607748184,0.9665477252453167,0.8426906779661016,0.8794642857142857,0.920951976200595,0.8745879889324,75,297,2167,1591,no_frequency,10
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,no_frequency,10
Random Forest,window,0.9154963680387409,0.9643175735950045,0.857521186440678,0.8893459481694775,0.9253156430558528,0.9518269525166695,80,269,2162,1619,no_frequency,10
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,no_frequency,10
XGBoost,window,0.9174334140435836,0.9620874219446922,0.864406779661017,0.8939079983423125,0.9267454350161117,0.9442352233553577,85,256,2157,1632,no_frequency,10
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9210526315789473,0,2,19,14,no_frequency,10
Logistic Regression,window,0.9150121065375303,0.9674397859054416,0.8527542372881356,0.8863914997956681,0.9251439539347409,0.8758821383752401,73,278,2169,1610,no_sampen,12
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,no_sampen,12
Random Forest,window,0.9184019370460048,0.9683318465655665,0.8591101694915254,0.8908494050061551,0.9279760632613806,0.9480429001799241,71,266,2171,1622,no_sampen,12
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9375,0,2,19,14,no_sampen,12
XGBoost,window,0.9159806295399515,0.9620874219446922,0.861228813559322,0.8916907813145928,0.9255524565543874,0.9451799666233236,85,262,2157,1626,no_sampen,12
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9177631578947368,0,2,19,14,no_sampen,12
Logistic Regression,window,0.911138014527845,0.9661016949152542,0.8458686440677966,0.8815628815628815,0.9218982762289849,0.8749456636780115,76,291,2166,1597,no_frequency_no_sampen,9
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,no_frequency_no_sampen,9
Random Forest,window,0.9171912832929782,0.9669937555753791,0.8580508474576272,0.8899835796387521,0.926891834117144,0.9424084598345908,74,268,2168,1620,no_frequency_no_sampen,9
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,no_frequency_no_sampen,9
XGBoost,window,0.914043583535109,0.9598572702943801,0.8596398305084746,0.8903599503516756,0.9238033912856837,0.9393391663768728,90,265,2152,1623,no_frequency_no_sampen,9
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9177631578947368,0,2,19,14,no_frequency_no_sampen,9
