Model,Level,Accuracy,Recall (Sensitivity),Specificity,Precision,F1-Score,ROC-AUC,FN,FP,TP,TN,IQR
Logistic Regression,window,0.9227602905569007,0.9821587867975022,0.8522245762711864,0.8875453446191052,0.9324581833580351,0.8706740019126386,40,279,2202,1609,IQR
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,IQR
Random Forest,window,0.9213075060532687,0.9745762711864406,0.8580508474576272,0.8907460252751732,0.9307774227902024,0.9397997257669455,57,268,2185,1620,IQR
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.930921052631579,0,2,19,14,IQR
XGBoost,window,0.9181598062953995,0.9629794826048171,0.8649364406779662,0.8943661971830986,0.927405498281787,0.9129324226250776,83,255,2159,1633,IQR
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9013157894736842,0,2,19,14,IQR
Logistic Regression,window,0.9138014527845036,0.9661016949152542,0.8516949152542372,0.8855273916598528,0.924061433447099,0.8755934471340662,76,280,2166,1608,NO-IQR
Logistic Regression,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2,19,14,NO-IQR
Random Forest,window,0.9174334140435836,0.9661016949152542,0.8596398305084746,0.8909913615795969,0.9270276053926814,0.950877248106261,76,265,2166,1623,NO-IQR
Random Forest,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9375,0,2,19,14,NO-IQR
XGBoost,window,0.9205811138014528,0.967885816235504,0.864406779661017,0.8944765045342127,0.9297343616109683,0.9575959343201439,72,256,2170,1632,NO-IQR
XGBoost,subject,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.9342105263157895,0,2,19,14,NO-IQR
