bootstrap,RF_AC_window_auc,RF_AC_subject_auc,XGB_COSEN_AC_window_auc,XGB_COSEN_AC_subject_auc,delta_window,delta_subject
0,0.9736882807321914,0.9836601307189542,0.9792838997132894,0.954248366013072,0.0055956189810980606,-0.02941176470588225
1,0.9828386779398152,0.9934640522875817,0.987298931829746,0.957516339869281,0.004460253889930876,-0.03594771241830075
2,0.981721502160186,0.9836601307189542,0.9832205361317178,0.9640522875816993,0.001499033971531727,-0.019607843137254943
3,0.9928811149624276,1.0,0.9957390873765857,1.0,0.002857972414158083,0.0
4,0.9864266733697212,0.9866666666666667,0.9866293210763191,0.9600000000000001,0.00020264770659783604,-0.026666666666666616
5,0.9868424459700572,0.9897959183673469,0.9893149302237415,0.9693877551020408,0.002472484253684293,-0.020408163265306145
6,0.9914272014465081,1.0,0.9952808711342431,1.0,0.0038536696877350396,0.0
7,0.985125170003797,0.9895104895104896,0.988054282689445,0.9475524475524475,0.0029291126856479943,-0.04195804195804209
8,0.9826752317966267,0.9782608695652174,0.9845236459621383,0.9565217391304348,0.0018484141655115138,-0.021739130434782594
9,0.9707424893028318,0.9703947368421052,0.9725015686659914,0.950657894736842,0.0017590793631595547,-0.019736842105263164
10,0.9876973052938499,0.9897959183673469,0.9882706314355676,0.9693877551020408,0.0005733261417176783,-0.020408163265306145
11,0.9682842209676545,0.9601449275362319,0.971963745217308,0.9202898550724639,0.003679524249653454,-0.03985507246376807
12,0.951513632360921,0.9509803921568628,0.954963968734099,0.8888888888888888,0.0034503363731779313,-0.06209150326797397
13,0.9853622982277275,0.9934640522875817,0.9870374751451858,0.9673202614379085,0.001675176917458332,-0.02614379084967322
14,0.9573697298492568,0.9638157894736842,0.9622605894404209,0.8947368421052632,0.004890859591164087,-0.06907894736842102
15,0.9594648675516714,0.9572368421052632,0.9659519156624685,0.8782894736842105,0.0064870481107971445,-0.07894736842105265
16,0.9809510129820386,0.9795918367346939,0.9808962941683423,0.9591836734693878,-5.471881369623066e-05,-0.020408163265306034
17,0.9892604259589651,0.993421052631579,0.99220202906001,0.9901315789473684,0.002941603101044854,-0.00328947368421062
18,0.9856273927745952,0.9869281045751633,0.9876270435398138,0.9738562091503268,0.0019996507652185747,-0.013071895424836555
19,0.9588738968586714,0.9720279720279721,0.9647936450220276,0.9300699300699301,0.005919748163356164,-0.04195804195804198
20,0.9492858524238957,0.9509803921568627,0.950709782141335,0.892156862745098,0.0014239297174392096,-0.05882352941176472
21,0.9718402466799226,0.9738562091503268,0.9767136913177604,0.9477124183006536,0.004873444637837787,-0.02614379084967322
22,0.9709298314912532,0.9769736842105263,0.9761269825670179,0.9440789473684211,0.005197151075764683,-0.0328947368421052
23,0.9886440630717127,0.9934210526315789,0.9920175218101273,0.9802631578947368,0.0033734587384145476,-0.013157894736842035
24,0.9860801306062978,0.9901960784313726,0.9874789473387747,0.9705882352941176,0.0013988167324768819,-0.019607843137254943
25,0.9905552469650432,1.0,0.9924063296657378,0.986013986013986,0.0018510827006946728,-0.013986013986013957
26,0.9783775016757637,0.9866666666666667,0.9816731303265345,0.9466666666666665,0.003295628650770821,-0.04000000000000015
27,0.9816264483385999,0.9829931972789115,0.9817576269232198,0.9523809523809523,0.0001311785846198621,-0.030612244897959218
28,0.9904101116587792,0.9901315789473684,0.9925126910748575,0.986842105263158,0.0021025794160782763,-0.0032894736842103978
29,0.9897138401468027,0.9931972789115646,0.9920613749665337,0.9863945578231292,0.0023475348197309343,-0.006802721088435382
30,0.9806202860345516,0.9869281045751633,0.9809371321065053,0.9281045751633987,0.0003168460719537025,-0.05882352941176461
31,0.9728746137926586,0.9727891156462585,0.9777638863646578,0.9319727891156462,0.004889272571999226,-0.04081632653061229
32,0.9889645292490059,0.9967105263157895,0.9906730522082281,0.9736842105263159,0.0017085229592221918,-0.02302631578947356
33,0.9738818169764735,0.965034965034965,0.9741832786575677,0.9230769230769231,0.00030146168109423943,-0.04195804195804187
34,0.9867729763772568,1.0,0.9902726187917225,0.986013986013986,0.0034996424144656535,-0.013986013986013957
35,0.9875275304031408,0.9934640522875816,0.9904497899897294,0.9869281045751633,0.002922259586588649,-0.006535947712418277
36,0.9802818474895465,0.9934640522875816,0.9856975683120132,0.9607843137254902,0.005415720822466663,-0.03267973856209139
37,0.9943088577957276,0.9967320261437909,0.9946042287450265,0.9869281045751633,0.00029537094929887875,-0.009803921568627527
38,0.9766527281968246,0.979020979020979,0.9797605080928838,0.9580419580419581,0.0031077798960592595,-0.020979020979020824
39,0.9953878946963253,1.0,0.9962675532723861,0.9934640522875816,0.0008796585760608711,-0.0065359477124183885
40,0.9869404263668504,1.0,0.989743575300464,0.9738562091503268,0.002803148933613553,-0.02614379084967322
41,0.9757356619249753,0.986013986013986,0.9804375099189808,0.951048951048951,0.004701847994005526,-0.034965034965035
42,0.9909658383606244,1.0,0.9918306521114622,0.9861111111111112,0.0008648137508378007,-0.01388888888888884
43,0.9487307973554742,0.951048951048951,0.9542421095135832,0.8566433566433567,0.005511312158109072,-0.09440559440559437
44,0.9897909848608598,0.9967320261437909,0.9912780490918957,0.9738562091503269,0.0014870642310358395,-0.02287581699346397
45,0.9904044417817022,0.993421052631579,0.9931548046538351,0.9901315789473684,0.0027503628721329276,-0.00328947368421062
46,0.9727102910158908,0.9671052631578947,0.9763013312871377,0.930921052631579,0.0035910402712469036,-0.03618421052631571
47,0.9880339606737326,0.9901315789473685,0.9886807991502745,0.9671052631578947,0.0006468384765419,-0.023026315789473784
48,0.9583634939294516,0.9605263157894737,0.9628086775578706,0.8651315789473684,0.004445183628418947,-0.09539473684210531
49,0.983544244885771,1.0,0.9873890121562164,0.9802631578947368,0.0038447672704454705,-0.019736842105263164
50,0.9811305590894788,0.9863945578231292,0.9826890681581453,0.9455782312925171,0.0015585090686665026,-0.04081632653061218
51,0.9672403164799389,0.9814814814814815,0.9745150925127943,0.9351851851851851,0.007274776032855423,-0.04629629629629639
52,0.980021186440678,0.99,0.981436608254333,0.9600000000000001,0.001415421813654949,-0.029999999999999916
53,0.9837033180120655,0.9833333333333334,0.9851994158766638,0.9666666666666666,0.001496097864598367,-0.01666666666666683
54,0.9742707707642353,0.9810606060606061,0.9787153530420551,0.946969696969697,0.004444582277819853,-0.03409090909090906
55,0.9449451785885281,0.9431818181818181,0.9506476717766578,0.8636363636363635,0.005702493188129654,-0.07954545454545459
56,0.969143108263127,0.9693877551020409,0.9723247385710964,0.9387755102040817,0.003181630307969363,-0.030612244897959218
57,0.9793739825720577,0.9866666666666667,0.9837393469309584,0.9466666666666668,0.004365364358900781,-0.039999999999999925
58,0.9965213540170449,1.0,0.9975483577516039,1.0,0.0010270037345589955,0.0
59,0.974930695202528,0.9766666666666667,0.9780807718088672,0.9433333333333334,0.0031500766063392582,-0.033333333333333326
60,0.9763292081827667,0.9671052631578947,0.9784724217178972,0.9407894736842105,0.0021432135351304726,-0.02631578947368418
61,0.9811232306769304,0.9897959183673469,0.9831209559376752,0.935374149659864,0.0019977252607448204,-0.05442176870748294
62,0.9917210923438609,1.0,0.9931459800237245,0.9931972789115645,0.0014248876798635957,-0.006802721088435493
63,0.9378381845431593,0.9210526315789473,0.9424984691331892,0.8618421052631579,0.004660284590029984,-0.05921052631578949
64,0.9970529327036078,1.0,0.9982763573685722,1.0,0.0012234246649643898,0.0
65,0.9750114909508761,0.9800000000000001,0.975358613425261,0.9366666666666666,0.00034712247438484223,-0.043333333333333446
66,0.9910468943207225,1.0,0.9936752932065999,0.9891304347826086,0.0026283988858774032,-0.010869565217391353
67,0.9953877414223374,1.0,0.9959461664585397,1.0,0.0005584250362022924,0.0
68,0.9688943996635329,0.9738562091503268,0.9734872595020964,0.9084967320261438,0.004592859838563501,-0.065359477124183
69,0.9976669998651572,1.0,0.9983965433343691,1.0,0.0007295434692119462,0.0
70,0.962734989945418,0.968,0.9644559034760126,0.9039999999999999,0.00172091353059467,-0.06400000000000006
71,0.9684889253029567,0.9659863945578231,0.9702402937618597,0.9387755102040817,0.001751368458903002,-0.027210884353741416
72,0.9730108001258533,0.9727891156462585,0.97544444379303,0.9319727891156462,0.002433643667176688,-0.04081632653061229
73,0.9799666443231512,0.9934640522875816,0.9855520538197086,0.9575163398692811,0.005585409496557392,-0.035947712418300526
74,0.9709771345098415,0.9705882352941176,0.9735346690624924,0.9411764705882354,0.002557534552650953,-0.02941176470588225
75,0.9765245224777646,0.9869281045751634,0.9789602473183087,0.9150326797385621,0.0024357248405441068,-0.07189542483660138
76,0.9728934989189434,0.9769736842105263,0.9755944866115303,0.9375,0.0027009876925868648,-0.03947368421052633
77,0.9555864000297045,0.9523809523809524,0.9614603669678156,0.9115646258503401,0.0058739669381110415,-0.04081632653061229
78,0.9510556010058745,0.9565217391304348,0.9577273001677846,0.891304347826087,0.006671699161910127,-0.06521739130434778
79,0.9649894478523,0.9673202614379084,0.9681947565965006,0.911764705882353,0.0032053087442005523,-0.05555555555555536
80,0.9741018235312894,0.9673202614379085,0.9770446194373564,0.9477124183006536,0.0029427959060670528,-0.019607843137254943
81,0.9681336780618598,0.9833333333333334,0.9741973092023365,0.9266666666666666,0.0060636311404767,-0.056666666666666754
82,0.9671766245519562,0.9673202614379085,0.9711494048926665,0.9084967320261438,0.003972780340710358,-0.05882352941176472
83,0.9856773505150409,0.9931972789115646,0.9884184210886308,0.9795918367346939,0.0027410705735898544,-0.013605442176870763
84,0.9718498871694462,0.9703947368421053,0.9756301595881403,0.9210526315789473,0.003780272418694053,-0.049342105263157965
85,0.9847468676109871,0.993006993006993,0.9894208420134878,0.9685314685314685,0.004673974402500725,-0.02447552447552448
86,0.9949714162596953,1.0,0.9960968112611319,1.0,0.001125395001436602,0.0
87,0.9883356453832081,0.9967105263157895,0.9895740410347903,0.986842105263158,0.0012383956515822359,-0.009868421052631526
88,0.966626675456753,0.9658119658119658,0.97181862712601,0.9188034188034189,0.005191951669257011,-0.04700854700854695
