threshold,policy,window_sensitivity,window_specificity,subject_sensitivity,subject_specificity,af_detected,af_total,nonaf_false_subjects,nonaf_total,median_false_alerts_per_hour,mean_false_alerts_per_hour,median_first_alert_s
0.3,1-of-1,0.987957181088314,0.8522245762711864,1.0,0.4375,19,19,9,16,3.0,4.125,30.0
0.3,2-of-3,0.9745762711864406,0.8591101694915254,1.0,0.5625,19,19,7,16,0.0,2.25,50.0
0.3,3-of-3,0.9616413916146298,0.8702330508474576,1.0,0.6875,19,19,5,16,0.0,1.125,50.0
0.3,3-of-5,0.9598572702943801,0.8670550847457628,1.0,0.6875,19,19,5,16,0.0,1.3125,70.0
0.35,1-of-1,0.9843889384478145,0.8559322033898306,1.0,0.5,19,19,8,16,1.5,3.1875,30.0
0.35,2-of-3,0.9736842105263158,0.861228813559322,1.0,0.5625,19,19,7,16,0.0,2.0625,50.0
0.35,3-of-3,0.9522747546833185,0.8707627118644068,1.0,0.6875,19,19,5,16,0.0,1.125,50.0
0.35,3-of-5,0.9585191793041927,0.868114406779661,1.0,0.6875,19,19,5,16,0.0,1.3125,70.0
0.4,1-of-1,0.9817127564674398,0.857521186440678,1.0,0.5625,19,19,7,16,0.0,2.8125,30.0
0.4,2-of-3,0.9705619982158786,0.8617584745762712,1.0,0.5625,19,19,7,16,0.0,2.0625,50.0
0.4,3-of-3,0.947814451382694,0.871292372881356,1.0,0.6875,19,19,5,16,0.0,0.9375,50.0
0.4,3-of-5,0.9562890276538805,0.8697033898305084,1.0,0.6875,19,19,5,16,0.0,1.125,70.0
0.45,1-of-1,0.9781445138269402,0.8596398305084746,1.0,0.5625,19,19,7,16,0.0,2.4375,30.0
0.45,2-of-3,0.9665477252453167,0.8638771186440678,1.0,0.5625,19,19,7,16,0.0,1.875,50.0
0.45,3-of-3,0.9420160570918823,0.871292372881356,1.0,0.6875,19,19,5,16,0.0,0.9375,50.0
0.45,3-of-5,0.9531668153434434,0.8707627118644068,1.0,0.6875,19,19,5,16,0.0,0.9375,70.0
0.5,1-of-1,0.975914362176628,0.8606991525423728,1.0,0.5625,19,19,7,16,0.0,2.25,30.0
0.5,2-of-3,0.9647636039250669,0.8649364406779662,1.0,0.625,19,19,6,16,0.0,1.6875,50.0
0.5,3-of-3,0.9380017841213203,0.871292372881356,1.0,0.6875,19,19,5,16,0.0,0.9375,50.0
0.5,3-of-5,0.9509366636931311,0.8707627118644068,1.0,0.6875,19,19,5,16,0.0,0.9375,70.0
0.55,1-of-1,0.971900089206066,0.8638771186440678,1.0,0.5625,19,19,7,16,0.0,2.625,30.0
0.55,2-of-3,0.9603033006244425,0.8665254237288136,1.0,0.625,19,19,6,16,0.0,1.3125,50.0
0.55,3-of-3,0.9330954504906334,0.8760593220338984,1.0,0.6875,19,19,5,16,0.0,1.3125,50.0
0.55,3-of-5,0.9464763603925067,0.871292372881356,1.0,0.6875,19,19,5,16,0.0,0.9375,70.0
0.6,1-of-1,0.9674397859054416,0.8665254237288136,1.0,0.5625,19,19,7,16,0.0,2.4375,30.0
0.6,2-of-3,0.9562890276538805,0.8691737288135594,1.0,0.625,19,19,6,16,0.0,1.5,50.0
0.6,3-of-3,0.9268510258697591,0.878707627118644,1.0,0.6875,19,19,5,16,0.0,1.5,50.0
0.6,3-of-5,0.943800178412132,0.871292372881356,1.0,0.6875,19,19,5,16,0.0,0.9375,70.0
0.65,1-of-1,0.9616413916146298,0.8707627118644068,1.0,0.5625,19,19,7,16,0.0,3.0,30.0
