outer_subject,outer_status,threshold,k,n,policy,subject_sensitivity,subject_specificity,window_sensitivity,window_specificity,mean_false_alerts_per_hour,median_first_alert_s
mimic_perform_af_001,1,0.7499999999999999,3,5,3-of-5,1.0,0.8125,0.8813559322033898,0.8760593220338984,0.9375,70.0
mimic_perform_af_002,1,0.7,3,5,3-of-5,1.0,0.8125,0.8997175141242938,0.8744703389830508,0.75,70.0
mimic_perform_af_003,1,0.7999999999999998,3,5,3-of-5,1.0,0.8125,0.8893596986817326,0.878707627118644,1.125,70.0
mimic_perform_af_004,1,0.7999999999999998,3,5,3-of-5,1.0,0.8125,0.8865348399246704,0.878707627118644,1.125,70.0
mimic_perform_af_005,1,0.7999999999999998,3,5,3-of-5,1.0,0.8125,0.916195856873823,0.8765889830508474,0.9375,70.0
mimic_perform_af_006,1,0.8499999999999999,3,5,3-of-5,1.0,0.8125,0.8940677966101694,0.878707627118644,1.125,70.0
mimic_perform_af_007,1,0.8999999999999999,3,3,3-of-3,1.0,0.875,0.7937853107344632,0.9576271186440678,3.9375,50.0
mimic_perform_af_008,1,0.6499999999999999,3,3,3-of-3,1.0,0.8125,0.9180790960451978,0.875,0.75,50.0
mimic_perform_af_009,1,0.8499999999999999,3,5,3-of-5,1.0,0.8125,0.910075329566855,0.8776483050847458,0.5625,70.0
mimic_perform_af_010,1,0.8499999999999999,3,5,3-of-5,1.0,0.8125,0.9124293785310734,0.8845338983050848,0.75,70.0
mimic_perform_af_011,1,0.8999999999999999,3,5,3-of-5,1.0,0.875,0.885593220338983,0.9067796610169492,1.3125,70.0
mimic_perform_af_012,1,0.8499999999999999,3,5,3-of-5,1.0,0.8125,0.9096045197740112,0.8808262711864406,0.75,70.0
mimic_perform_af_013,1,0.8499999999999999,3,5,3-of-5,1.0,0.8125,0.9110169491525424,0.8813559322033898,0.75,70.0
mimic_perform_af_014,1,0.8499999999999999,3,5,3-of-5,1.0,0.8125,0.9077212806026366,0.878177966101695,0.75,70.0
mimic_perform_af_015,1,0.8999999999999999,3,5,3-of-5,1.0,0.875,0.884180790960452,0.903072033898305,1.3125,70.0
mimic_perform_af_016,1,0.7499999999999999,3,3,3-of-3,1.0,0.8125,0.8931261770244822,0.875,0.75,50.0
mimic_perform_af_017,1,0.8999999999999999,3,5,3-of-5,1.0,0.8125,0.8639359698681732,0.9009533898305084,1.5,70.0
mimic_perform_af_018,1,0.8999999999999999,3,5,3-of-5,1.0,0.8125,0.8662900188323918,0.903072033898305,1.6875,70.0
mimic_perform_af_019,1,0.8999999999999999,3,5,3-of-5,1.0,0.8125,0.8634651600753296,0.9057203389830508,1.5,70.0
mimic_perform_non_af_001,0,0.8999999999999999,3,3,3-of-3,1.0,0.8666666666666667,0.7917038358608386,0.9621468926553672,2.8,50.0
mimic_perform_non_af_002,0,0.8999999999999999,3,3,3-of-3,1.0,0.8666666666666667,0.784121320249777,0.9649717514124294,2.4,50.0
mimic_perform_non_af_003,0,0.8999999999999999,3,3,3-of-3,1.0,0.8666666666666667,0.7707404103479036,0.9559322033898305,1.8,50.0
mimic_perform_non_af_004,0,0.8999999999999999,3,3,3-of-3,1.0,0.8666666666666667,0.7743086529884032,0.9587570621468926,1.8,50.0
mimic_perform_non_af_005,0,0.8999999999999999,3,5,3-of-5,1.0,0.8,0.872435325602141,0.9384180790960452,1.8,70.0
mimic_perform_non_af_006,0,0.7499999999999999,3,5,3-of-5,1.0,0.8,0.9362176628010704,0.8677966101694915,0.6,70.0
mimic_perform_non_af_007,0,0.8499999999999999,3,5,3-of-5,1.0,0.8666666666666667,0.9032114183764496,0.8734463276836159,0.6,70.0
mimic_perform_non_af_008,0,0.8999999999999999,3,5,3-of-5,1.0,0.8,0.8751115075825157,0.9423728813559322,1.8,70.0
mimic_perform_non_af_009,0,0.6499999999999999,3,5,3-of-5,1.0,0.8,0.9455842997323818,0.8694915254237288,0.8,70.0
mimic_perform_non_af_010,0,0.6499999999999999,3,5,3-of-5,1.0,0.8,0.9442462087421944,0.8706214689265537,1.0,70.0
mimic_perform_non_af_011,0,0.8999999999999999,3,3,3-of-3,1.0,0.8,0.7747546833184656,0.9423728813559322,1.6,50.0
mimic_perform_non_af_012,0,0.8999999999999999,3,3,3-of-3,1.0,0.8666666666666667,0.8090990187332738,0.9446327683615819,1.2,50.0
mimic_perform_non_af_013,0,0.8499999999999999,3,3,3-of-3,1.0,0.7333333333333334,0.8153434433541481,0.9316384180790961,1.4,50.0
mimic_perform_non_af_014,0,0.5999999999999999,3,3,3-of-3,1.0,0.8,0.9295272078501338,0.9316384180790961,0.6,50.0
mimic_perform_non_af_015,0,0.8999999999999999,3,3,3-of-3,1.0,0.8666666666666667,0.77921498661909,0.9728813559322034,2.8,50.0
mimic_perform_non_af_016,0,0.8999999999999999,3,3,3-of-3,1.0,0.8666666666666667,0.7823371989295272,0.9819209039548022,2.2,50.0
