dataset,split,method,rows,subjects,AUROC,PR_AUC,Brier,LogLoss,ECE_fixed_10,ECE_quantile_10,calibration_intercept,calibration_slope
deepbeat,DEV,RAW,4026,13,0.807878991348784,0.43345557740420715,0.11226755477876575,0.3670419001285171,0.08004682365042617,0.09235311383437408,-1.1057444724255567,0.5448044662731677
deepbeat,DEV,PLATT_OOF,4026,13,0.6276541725763105,0.3258262999912063,0.12142786693951794,0.4385640509290439,0.107125108150981,0.10723732324945565,-1.2483801833832215,0.370492323008402
pulsewatch,DEV,RAW,17679,16,0.990505286128991,0.9390222580047844,0.02881176791258889,0.10927146373305724,0.03385812943903631,0.033858129439036294,-1.0723697969362604,1.2049171841680317
pulsewatch,DEV,PLATT_OOF,17679,16,0.9815473798357023,0.9035780571345529,0.030397577683045404,0.11455961367974178,0.025475909923277782,0.02547590992327776,-0.7187179977420702,1.1467982384570086
liu,DEV,RAW,997,7,0.9813719219699393,0.6677310222585742,0.043037101672681606,0.15252516821466142,0.06945926955193017,0.06802507662108681,-2.580293210598839,1.0945852031649215
liu,DEV,PLATT_OOF,997,7,0.9757954908858331,0.6043642733178032,0.0431948939012853,0.15167299770858958,0.06620410184152895,0.06620410184152895,-2.2745155725015165,1.0365725616458958
POOLED,DEV,RAW,22702,36,0.9753782831044984,0.8717679774368778,0.04423664923062432,0.1568843489544598,0.03925065348784749,0.0417080483505865,-0.9574370643912159,0.996844112364453
POOLED,DEV,PLATT_OOF,22702,36,0.9374525132857761,0.8094037155008604,0.047103016358763114,0.17364885287639634,0.03076683099558189,0.034745770980272754,-0.7438439769539512,0.9237357172584404
deepbeat,REUSED_TEST,RAW,1363,7,0.9903911446181703,0.9889661135717717,0.058315144226885586,0.20382961703844962,0.09779085219470833,0.10109492624417743,-2.3148162260868883,1.8888111402139565
deepbeat,REUSED_TEST,PLATT_DEV_FROZEN,1363,7,0.9903911446181703,0.9889661135717717,0.05111801193610045,0.18879509899797564,0.09047537193478095,0.09403790615296806,-1.7241410491810993,1.9533697706938542
pulsewatch,REUSED_TEST,RAW,30158,16,0.9984653083599642,0.9889539696985515,0.009482898364224656,0.0531591073027015,0.02889544964129698,0.029002890944599704,-0.8250661252697394,1.6361947169545645
pulsewatch,REUSED_TEST,PLATT_DEV_FROZEN,30158,16,0.9984653083599642,0.9889539696985515,0.009128321805089318,0.05075775137411781,0.025633891847395247,0.025768554204446625,-0.31221511607068775,1.6918491112176128
liu,REUSED_TEST,RAW,920,7,0.9866240530303031,0.9779764983188317,0.032217392349941594,0.1328137378382841,0.016981498972141993,0.02999056843433593,-0.8911094338602656,1.2858128256425474
liu,REUSED_TEST,PLATT_DEV_FROZEN,920,7,0.9866240530303031,0.9779764983188317,0.03165182942088056,0.13171925534619344,0.032859358834978626,0.030620567322075673,-0.4896981687221975,1.3292996164534414
