feature,method,n,spearman_rho,pvalue
HR_mean,LODO,1120,0.17128314004828957,7.997574518834315e-09
HR_mean,FULL,1120,0.06799937501731478,0.022858717535614338
Mean_NN,LODO,1120,-0.17128314004828957,7.997574518834315e-09
Mean_NN,FULL,1120,-0.06799937501731478,0.022858717535614338
SDNN,LODO,1120,0.11198941020470507,0.00017298416899094658
SDNN,FULL,1120,0.22890218128178538,8.822609372275093e-15
RMSSD,LODO,1120,0.2013047412675916,1.0524453163569445e-11
RMSSD,FULL,1120,0.3161813609622744,2.0125237566741615e-27
NN50,LODO,1120,0.6218509226339837,7.817650551532576e-121
NN50,FULL,1120,0.5895258101289105,8.745133732023856e-106
pNN50,LODO,1120,0.5788797339036059,3.423104671072168e-101
pNN50,FULL,1120,0.6079967991542875,3.5922900107523085e-114
CV,LODO,1120,0.1565006062589548,1.4085305496598486e-07
CV,FULL,1120,0.2411197945926975,2.805508577354472e-16
HF,LODO,1120,0.22480773424622866,2.6831660268106175e-14
HF,FULL,1120,0.3254299817911448,4.8473947872494324e-29
Total_Power,LODO,1120,0.2175916860902932,1.808163863134087e-13
Total_Power,FULL,1120,0.31747117611730336,1.206282507357067e-27
HF_norm,LODO,1120,0.027436562451071962,0.3589590632591242
HF_norm,FULL,1120,0.04964498661235305,0.09679224106110186
SD1,LODO,1120,0.19990206508092875,1.4704993605116867e-11
SD1,FULL,1120,0.31509359187809177,3.092888022491676e-27
SD2,LODO,1120,0.026861514729211063,0.3691234640478735
SD2,FULL,1120,0.13317213519291224,7.758323166336806e-06
SampEn,LODO,1120,0.11226606535118194,0.00016664688450205052
SampEn,FULL,1120,0.0671065118554278,0.02471441245834905
PPG_AC,LODO,1120,-0.6423315923744015,2.5560591378196085e-131
PPG_AC,FULL,1120,-0.624807580021531,2.6765290692164623e-122
