feature,quartile,windows,feature_min,feature_median,feature_max,LODO_mean_probability,FULL_mean_probability,LODO_sensitivity_05,FULL_sensitivity_05
PPG_AC,Q1,280,0.041999758872891,0.0571239672517678,0.0612723348726591,0.8142697797202709,0.8893241713306489,0.8678571428571429,0.95
PPG_AC,Q2,280,0.0612843865728512,0.06476114720114534,0.0685793095623414,0.8141189152361931,0.8841023542658474,0.8892857142857142,0.9428571428571428
PPG_AC,Q3,280,0.0685843239166068,0.07490151039673129,0.0938384208555436,0.7094290924884076,0.8285280406234338,0.7821428571428571,0.8892857142857142
PPG_AC,Q4,280,0.0941176264242939,0.18396295807397056,0.2510295612136886,0.1047026603652341,0.25869608351746864,0.1,0.16785714285714284
CV,Q1,280,0.0570541464644015,0.22159955746213766,0.2569419574944163,0.38145366950033954,0.4954718082469844,0.4107142857142857,0.48214285714285715
CV,Q2,280,0.2570996740830134,0.28084332876916873,0.3017173007664834,0.6830613950195491,0.7637739872102113,0.7214285714285714,0.7928571428571428
CV,Q3,280,0.3017349352363891,0.3206992973252225,0.3431678613397968,0.722893392415306,0.79691438331195,0.7785714285714286,0.8285714285714286
CV,Q4,280,0.3433642315904706,0.3737355846561797,0.4508244325673487,0.6551119908749111,0.8044904709682529,0.7285714285714285,0.8464285714285714
RMSSD,Q1,280,56.26197190606298,212.4955668373116,245.9965912704212,0.35630976708315637,0.4619685562211375,0.37142857142857144,0.44642857142857145
RMSSD,Q2,280,246.1671648013109,271.51091429620055,293.4576512754528,0.6556850580253709,0.7304135589523882,0.6928571428571428,0.7428571428571429
RMSSD,Q3,280,293.8046111850041,315.21536017142773,341.59225380143334,0.6944256417144159,0.7822687991843507,0.7357142857142858,0.8178571428571428
RMSSD,Q4,280,341.7963966833388,386.6022656288592,629.4339999762382,0.7360999809871623,0.885999735379522,0.8392857142857143,0.9428571428571428
pNN50,Q1,281,10.714285714285714,56.25,72.72727272727273,0.1930711874355144,0.31965136080437034,0.199288256227758,0.2846975088967972
pNN50,Q2,283,72.97297297297297,80.64516129032258,84.84848484848484,0.6425507858857571,0.7473938479135744,0.6925795053003534,0.7703180212014135
pNN50,Q3,277,85.0,88.0,90.625,0.8069547415270485,0.895944401014081,0.8844765342960289,0.9494584837545126
pNN50,Q4,279,90.9090909090909,93.75,100.0,0.8038866878451194,0.9013300770609374,0.8673835125448028,0.9498207885304659
NN50,Q1,301,3.0,18.0,22.0,0.21484749737317796,0.37820736350412293,0.22259136212624583,0.3521594684385382
NN50,Q2,332,23.0,25.0,27.0,0.6696075792483968,0.7845621059978616,0.7469879518072289,0.822289156626506
NN50,Q3,251,28.0,29.0,30.0,0.8440687007605665,0.9021412455589017,0.9043824701195219,0.9482071713147411
NN50,Q4,236,31.0,32.0,46.0,0.7841765613395472,0.8484309054455773,0.8347457627118644,0.885593220338983
