dataset,metric,success,total,point_estimate,wilson_95_low,wilson_95_high,exact_95_low,exact_95_high,evaluation
deepbeat,Sensitivity,5,5,1.0,0.5655175352168252,1.0,0.4781762498950185,1.0,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
deepbeat,Specificity,2,2,1.0,0.3423802275066531,1.0,0.15811388300841897,1.0,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
deepbeat,PPV,5,5,1.0,0.5655175352168252,1.0,0.4781762498950185,1.0,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
deepbeat,NPV,2,2,1.0,0.3423802275066531,1.0,0.15811388300841897,1.0,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
pulsewatch,Sensitivity,4,4,1.0,0.5101091635454027,1.0,0.3976353643835253,1.0,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
pulsewatch,Specificity,12,12,1.0,0.7575059933447591,1.0,0.7353515306029488,1.0,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
pulsewatch,PPV,4,4,1.0,0.5101091635454027,1.0,0.3976353643835253,1.0,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
pulsewatch,NPV,12,12,1.0,0.7575059933447591,1.0,0.7353515306029488,1.0,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
liu,Sensitivity,4,5,0.8,0.37553462976252533,0.9637758913675698,0.2835820638819105,0.9949492366205319,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
liu,Specificity,1,2,0.5,0.09453120573423071,0.9054687942657693,0.01257911709342505,0.9874208829065749,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
liu,PPV,4,5,0.8,0.37553462976252533,0.9637758913675698,0.2835820638819105,0.9949492366205319,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
liu,NPV,1,2,0.5,0.09453120573423071,0.9054687942657693,0.01257911709342505,0.9874208829065749,GLOBAL_RULE_V2_REUSED_TEST_EXPLORATORY
