dataset,split,method,metric,point_estimate,bootstrap_mean,CI95_low,CI95_high,valid_bootstrap_samples,requested_bootstrap_samples,bootstrap_unit
deepbeat,REUSED_TEST,RAW,AUROC,0.9903911446181703,0.9836927558078977,0.9320571462516335,0.997692645123556,4500,5000,subject
deepbeat,REUSED_TEST,RAW,PR_AUC,0.9889661135717717,0.9460789240756781,0.6929269316801218,0.9993830976008573,4500,5000,subject
deepbeat,REUSED_TEST,RAW,Brier,0.058315144226885586,0.06239674181345668,0.020067230545887278,0.09726518006422162,4500,5000,subject
deepbeat,REUSED_TEST,RAW,ECE,0.09779085219470833,0.10450591461432583,0.04745718049256949,0.17868610723192907,4500,5000,subject
deepbeat,REUSED_TEST,PLATT_DEV_FROZEN,AUROC,0.9903911446181703,0.983865335410371,0.9347490347490348,0.9973979591836735,4503,5000,subject
deepbeat,REUSED_TEST,PLATT_DEV_FROZEN,PR_AUC,0.9889661135717717,0.9488190594402208,0.6984310097899318,0.9994689309524472,4503,5000,subject
deepbeat,REUSED_TEST,PLATT_DEV_FROZEN,Brier,0.05111801193610045,0.05435164679627592,0.019696339150141507,0.08589423134561659,4503,5000,subject
deepbeat,REUSED_TEST,PLATT_DEV_FROZEN,ECE,0.09047537193478092,0.09630399764563209,0.05824354312020191,0.15219199408787948,4503,5000,subject
pulsewatch,REUSED_TEST,RAW,AUROC,0.9984653083599642,0.998411564101379,0.9966732793926701,0.9996052404902118,4955,5000,subject
pulsewatch,REUSED_TEST,RAW,PR_AUC,0.9889539696985515,0.9789893964494196,0.8396096291255105,0.9971263247652984,4955,5000,subject
pulsewatch,REUSED_TEST,RAW,Brier,0.009482898364224656,0.009945077500555245,0.004955731216022325,0.017274028155320555,4955,5000,subject
pulsewatch,REUSED_TEST,RAW,ECE,0.02889544964129698,0.029887688431444525,0.025467840431230907,0.03736783357762343,4955,5000,subject
pulsewatch,REUSED_TEST,PLATT_DEV_FROZEN,AUROC,0.9984653083599642,0.9983999283660236,0.9966707540067147,0.9995918503372039,4957,5000,subject
pulsewatch,REUSED_TEST,PLATT_DEV_FROZEN,PR_AUC,0.9889539696985515,0.9787456030550186,0.9174808130754725,0.9973645257050472,4957,5000,subject
pulsewatch,REUSED_TEST,PLATT_DEV_FROZEN,Brier,0.009128321805089316,0.009695296741995145,0.004487498695881141,0.017693402349137563,4957,5000,subject
pulsewatch,REUSED_TEST,PLATT_DEV_FROZEN,ECE,0.0256338918473952,0.028162277334651608,0.02357422343018143,0.038731254396426815,4957,5000,subject
liu,REUSED_TEST,RAW,AUROC,0.9866240530303031,0.9820033849650961,0.9400633085604185,0.9993693107047171,5000,5000,subject
liu,REUSED_TEST,RAW,PR_AUC,0.9779764983188317,0.9673760167922002,0.8785157005724933,0.9994684318501154,5000,5000,subject
liu,REUSED_TEST,RAW,Brier,0.032217392349941594,0.03495313509856029,0.006244971865744251,0.08661593506739872,5000,5000,subject
liu,REUSED_TEST,RAW,ECE,0.016981498972141993,0.033729888113443136,0.015337120903177563,0.08694100309738863,5000,5000,subject
liu,REUSED_TEST,PLATT_DEV_FROZEN,AUROC,0.9866240530303031,0.9822547869773961,0.9396361951106477,0.9994297120045623,4998,5000,subject
liu,REUSED_TEST,PLATT_DEV_FROZEN,PR_AUC,0.9779764983188317,0.9693531991331069,0.8965977377548902,0.9995312768766687,4998,5000,subject
liu,REUSED_TEST,PLATT_DEV_FROZEN,Brier,0.03165182942088055,0.03410657247502762,0.007369999846432022,0.0859809459438129,4998,5000,subject
liu,REUSED_TEST,PLATT_DEV_FROZEN,ECE,0.0328593588349787,0.040669652873620045,0.0268210765208657,0.07793237899526621,4998,5000,subject
