Model,Level,Subset,Accuracy,Recall (Sensitivity),Specificity,Precision,F1-Score,ROC-AUC,FN,FP
Logistic Regression,window,pooled,0.9478400387491297,0.9732727814175104,0.9304117136880772,0.9055205375077925,0.9381750331910007,0.9700056136297941,359,1364
Logistic Regression,window,mimic,0.9043583535108959,0.9723461195361285,0.8236228813559322,0.8674890569040987,0.9169295478443743,0.8676775899998488,62,333
Logistic Regression,window,afdb,0.9540532124692939,0.9734584450402145,0.9417941624795348,0.9135357262663536,0.9425456433330449,0.9810467988577884,297,1031
Logistic Regression,subject,mimic,0.9428571428571428,1.0,0.875,0.9047619047619048,0.95,0.875,0,2
Random Forest,window,pooled,0.9524717706535888,0.9654556283502085,0.9435743074332942,0.9214153758703993,0.9429215443903148,0.9876039001607987,464,1106
Random Forest,window,mimic,0.9108958837772397,0.9710080285459411,0.8395127118644068,0.8778225806451613,0.9220669207962727,0.9445703367151,65,303
Random Forest,window,afdb,0.9584126215271771,0.964343163538874,0.9546660644724214,0.9307400379506642,0.9472436797752809,0.9921005646226926,399,803
Random Forest,subject,mimic,0.9142857142857143,1.0,0.8125,0.8636363636363636,0.926829268292683,0.9375,0,3
XGBoost,window,pooled,0.9588593224956862,0.9716349017272186,0.9501045865006887,0.9302872620999358,0.9505116346819126,0.988266782191559,381,978
XGBoost,window,mimic,0.9038740920096853,0.9772524531668153,0.8167372881355932,0.8636184469846275,0.9169282276626909,0.9312791998669468,51,346
XGBoost,window,afdb,0.9667162578279072,0.9705093833780161,0.9643199909670863,0.9450052210233205,0.9575875143285425,0.994089606766048,330,632
XGBoost,subject,mimic,0.9142857142857143,1.0,0.8125,0.8636363636363636,0.926829268292683,0.9210526315789473,0,3
